Date Taken,Temperature,Humidity,VOC,PM2.5,PM10
08/03/2025 0:00,24.3,32.6,218.7,88.8,12.3
08/03/2025 0:00,29,60.3,174.6,103.5,191.1
08/03/2025 0:00,28.9,33.6,173.8,114.5,43.3
08/03/2025 0:00,20.9,32.7,249,36.3,177.9
08/03/2025 0:01,29.9,32.1,102.8,64.9,54.3
08/03/2025 0:01,25.3,63.7,413.2,27.7,126
08/03/2025 0:01,20.2,58.8,480.6,21.7,27.5
08/03/2025 0:01,23.3,58.1,161.5,28,107.6
08/03/2025 0:02,18.1,63.3,464.2,12.3,40.7
08/03/2025 0:02,28.9,32.3,90.3,64,81.2
08/03/2025 0:02,27.9,66.2,304.8,100.2,150.4
08/03/2025 0:02,21.6,51.8,93.8,98.2,198.3
08/03/2025 0:03,26.9,65.3,116.5,61.6,152.2
08/03/2025 0:03,25.4,35.3,490.6,76,59.2
08/03/2025 0:03,23,36.6,404.4,88.4,169.4
08/03/2025 0:03,27.2,69,240.4,77.4,78.4
08/03/2025 0:04,29.6,49.2,136.8,67.1,74.6
08/03/2025 0:04,20.1,64.7,290.4,7,179
08/03/2025 0:04,25.7,60.8,451.1,69.3,137.1
08/03/2025 0:04,18.2,49.3,382.9,25.4,172.3
08/03/2025 0:05,24.4,36.5,170.7,94.7,97.6
08/03/2025 0:05,18.8,39.2,137.4,82.6,98.6
08/03/2025 0:05,28.1,58.9,400.6,6.2,32.2
08/03/2025 0:05,20.7,61.4,93.6,106,28.9
08/03/2025 0:06,26.1,31.6,328,92.9,52.8
08/03/2025 0:06,26.4,43.6,426.1,101,159.5
08/03/2025 0:06,24.5,64.8,162,47.8,136.5
08/03/2025 0:06,21.4,53.1,293.6,55.5,14.5
08/03/2025 0:07,24.8,30.8,498,47.7,180
08/03/2025 0:07,26.9,57.2,170.4,37.9,34.9
08/03/2025 0:07,22.8,65.8,335.6,97.8,157.4
08/03/2025 0:07,25.4,63.2,68.7,7.3,94.4
08/03/2025 0:08,22.4,61,171.8,66.7,151.7
08/03/2025 0:08,29,46.7,149,12.4,136.5
08/03/2025 0:08,29.8,54.1,481,29.2,187.9
08/03/2025 0:08,21.7,58.8,271.3,67.1,91.6
08/03/2025 0:09,25.5,67.2,489.8,53,191.7
08/03/2025 0:09,19,56.3,426.7,15.5,132
08/03/2025 0:09,26.6,39.1,389.8,117.2,67.6
08/03/2025 0:09,27.8,30.1,162.2,46.9,131.5
08/03/2025 0:10,26.1,46.6,235.3,26.1,55.5
08/03/2025 0:10,18.5,60.5,250.7,47.3,111.2
08/03/2025 0:10,24.6,49.2,282.1,21.1,106.4
08/03/2025 0:10,28.5,40,388.8,54.3,185.5
08/03/2025 0:11,22.8,53.7,266.6,55.6,11.3
08/03/2025 0:11,19.6,67.1,333.4,116.9,93.2
08/03/2025 0:11,24.8,58.4,346.4,78.6,191.8
08/03/2025 0:11,24.9,58.9,92.7,40.4,142.4
08/03/2025 0:12,20.1,64.6,394.5,65.4,65.3
08/03/2025 0:12,21,49.4,358.5,32.3,66.4
08/03/2025 0:12,26.7,48.2,180.8,87.3,55.1
08/03/2025 0:12,21.9,32.3,96.1,50.5,105.3
08/03/2025 0:13,24.5,54.4,373,94.2,128.3
08/03/2025 0:13,20,67.6,188.1,48.5,94.2
08/03/2025 0:13,25.6,60.3,294.9,50.4,154.2
08/03/2025 0:13,22,30.8,144.6,25.2,103.1
08/03/2025 0:14,26.7,42,335.4,96.4,186.4
08/03/2025 0:14,21.4,46.7,138.4,113.2,43.5
08/03/2025 0:14,24.2,43.2,238.2,116.7,39.8
08/03/2025 0:14,25.9,53.4,119.5,73.1,122.4
08/03/2025 0:15,23,45.7,466,41.8,73.3
08/03/2025 0:15,21.1,52.3,344.8,49.3,104.4
08/03/2025 0:15,29.2,36.5,305.4,104.7,129.4
08/03/2025 0:15,19.6,30.3,338.6,76.4,148.8
08/03/2025 0:16,22.1,64,205.3,76.8,71.8
08/03/2025 0:16,27.6,62.9,387.1,95,64.6
08/03/2025 0:16,22.4,61.6,422.3,23.5,75.6
08/03/2025 0:16,24.8,65.2,113.7,47.5,129.8
08/03/2025 0:17,28,32.4,470.9,8.7,18
08/03/2025 0:17,28.2,42.2,468.1,12.9,75.1
08/03/2025 0:17,28.4,61.1,408.6,70.9,133.1
08/03/2025 0:17,27.6,48.7,259.1,104.6,94.3
08/03/2025 0:18,27.9,43.5,439.5,73.3,52.7
08/03/2025 0:18,18.7,31.2,434,99.6,180
08/03/2025 0:18,23.2,38.4,197.3,32.9,79.5
08/03/2025 0:18,29.7,54,201.2,74.4,57.9
08/03/2025 0:19,23.2,68.7,347.6,6.2,52
08/03/2025 0:19,27.6,51.2,301.9,46.7,54.8
08/03/2025 0:19,20.6,42.6,267,13.6,107.2
08/03/2025 0:19,21.4,56.7,365.9,110.9,33.7
08/03/2025 0:20,23.7,61.1,226.9,33.5,155.6
08/03/2025 0:20,21.7,68.8,206.8,91.1,122.5
08/03/2025 0:20,21.3,36.8,305.2,63.1,74.5
08/03/2025 0:20,22.4,61.4,216.7,7.8,30.1
08/03/2025 0:21,26.5,45.8,203.3,94.3,104.6
08/03/2025 0:21,21.3,52.6,186.3,101.8,26.7
08/03/2025 0:21,21.4,59.2,302.1,29.8,59.1
08/03/2025 0:21,28.5,69.8,439.8,18.7,179.9
08/03/2025 0:22,25.8,37.3,279.7,6.8,54
08/03/2025 0:22,19.3,40.1,485.7,29.9,32.4
08/03/2025 0:22,18.2,39.3,380.5,93.9,93.8
08/03/2025 0:22,23.5,40.8,91.3,45.3,166.8
08/03/2025 0:23,24.3,47.8,411.8,74,37.9
08/03/2025 0:23,27.8,62.4,378.3,25.4,63.4
08/03/2025 0:23,21.4,69.4,244.6,94.2,126.2
08/03/2025 0:23,18.9,53.1,289.6,115,48.7
08/03/2025 0:24,24.6,59.2,129.8,24.6,88.2
08/03/2025 0:24,25.4,61.3,373,9.8,171.5
08/03/2025 0:24,22.6,31.3,420.9,105.5,184.7
08/03/2025 0:24,26.5,54.4,169.9,101.2,90.7
08/03/2025 0:25,23,57.7,227.3,104,59.7
08/03/2025 0:25,24.3,53.3,196.9,9.1,123.2
08/03/2025 0:25,27.9,67.2,325.5,30.3,92.7
08/03/2025 0:25,24,58.9,194.9,112.1,121.1
08/03/2025 0:26,27.5,34.9,439.6,76,77.9
08/03/2025 0:26,21.9,31,392.5,103,102.8
08/03/2025 0:26,22.5,61.9,313.1,116.8,40.6
08/03/2025 0:26,23.2,37.4,104.7,76.2,161.6
08/03/2025 0:27,29.5,48.1,57.5,82.8,94.2
08/03/2025 0:27,18.7,61.8,222.9,65.1,122.2
08/03/2025 0:27,18.7,49.4,394.5,10.6,135.3
08/03/2025 0:27,28.2,30.1,183,45.9,67.2
08/03/2025 0:28,21.8,58.7,273,35.4,41.4
08/03/2025 0:28,29.6,48.1,344.3,54.7,197.4
08/03/2025 0:28,25.3,62,208.3,43.8,199.3
08/03/2025 0:28,24,48.8,484.6,100.9,44.8
08/03/2025 0:29,20.2,65.2,146,114.4,38.5
08/03/2025 0:29,23.6,51.5,278.7,119.6,49
08/03/2025 0:29,24.5,49.1,377.3,91.9,16.1
08/03/2025 0:29,21.6,36.6,135.4,34.5,71.4
08/03/2025 0:30,20.1,61.5,443.8,100.4,74.8
08/03/2025 0:30,28.2,59.3,482,81.4,121.3
08/03/2025 0:30,29.5,46.9,110.3,7.9,199.9
08/03/2025 0:30,26.9,60.8,462.1,79,188.5
08/03/2025 0:31,25.8,53.5,425.8,75.4,104.3
08/03/2025 0:31,25.8,55.3,365.9,83,16.8
08/03/2025 0:31,26,50.3,256.7,94.2,176.3
08/03/2025 0:31,23.3,48.8,115.6,51.7,25.9
08/03/2025 0:32,26.8,54.1,448.9,26,172
08/03/2025 0:32,21.4,54.6,484.5,84.1,78.9
08/03/2025 0:32,22.2,62.1,51.1,25,56.4
08/03/2025 0:32,20,63.3,394.6,72.2,118.3
08/03/2025 0:33,25.6,62.8,485.7,79,152.4
08/03/2025 0:33,21.1,49.4,57.7,50.8,126
08/03/2025 0:33,19.9,57.9,309,47.6,91.7
08/03/2025 0:33,20.3,35.4,427.3,99.7,55.2
08/03/2025 0:34,23,53.5,281.6,90.5,114.6
08/03/2025 0:34,28.3,54.8,110.5,45.2,125.2
08/03/2025 0:34,26.5,51.2,236.3,103,133.4
08/03/2025 0:34,29.3,53.6,68.6,113.5,89.2
08/03/2025 0:35,18.1,56.3,415,9.9,77.8
08/03/2025 0:35,26.4,45.4,345.8,54.2,120.6
08/03/2025 0:35,22,69.2,107.6,51.1,164.2
08/03/2025 0:35,18.3,63.6,89,63.9,43.3
08/03/2025 0:36,26.4,48.2,277.2,40.7,85.2
08/03/2025 0:36,27.8,47.5,204.7,105.4,32.5
08/03/2025 0:36,23.9,63.2,332.8,19.4,30.1
08/03/2025 0:36,19.3,58.8,328.3,24.3,18.4
08/03/2025 0:37,21.4,68.9,121,69.3,186.7
08/03/2025 0:37,29.1,39.9,52.3,93.7,22
08/03/2025 0:37,28.7,32.8,236.4,65.3,98.3
08/03/2025 0:37,20.9,33.5,215.7,91.9,55.8
08/03/2025 0:38,18.8,46.7,79.1,112.7,116.8
08/03/2025 0:38,29.2,30,75,62.4,20.4
08/03/2025 0:38,24.2,44,112.4,77.5,163.1
08/03/2025 0:38,25.2,40.8,300,10.6,119.2
08/03/2025 0:39,29.7,53.9,160.7,19.5,40.5
08/03/2025 0:39,27.9,41.2,414.7,45,126.8
